ゆる言語学ラジオ

はいということでゆる言語学ラジオ 今回はソシュールの3回目ですかね
いいんですよ 他の浮きの位置のいろんな影響

を受けた結果例えばプールに波 が立ったとしていろいろ動いちゃ

ったとしたら その占められてる紐の間の空間

っていうのは他の浮きの位置によって 決まる

他の浮きが動くことによって影響 を及ぼされちゃうイメージって

湧きます それは湧くんですけどそれはプール

の例えのほうじゃないですか さっきの例でいうと例えば狼を

知らない人が狼を発見するみたいな ことですよね多分

狼を見つけたときにもう今25メートル プールいっぱいだから既存のどこか

に入れなきゃいけないと なると犬のとこに入れとこう

そうそうすると犬の浮きが動い ちゃうわけですよね

犬がちょっと大きくなる犬がちょっと 大きくなると他の浮きが狭くなったり

動いちゃったりするイメージ なるほどなるほど

じゃあわかりました 1回目のときに第1回のゆる言語学

ラジオで話したと思うんですけど 言葉ってのは単語ってのは差異

によって違いによってしか決まらない って話をしたの覚えてます

はい覚えてます 例えばなんですけど狼を知らない

民族で犬っていう言語があって 犬っぽいなこれと思ったらわざわざ

狼っていう名前をつけずに犬っていう ふうに狼のことも呼んで済ませる

言語もあるだろうとフランス語 ではその蝶々もガモパピオンって

呼ぶんだよっていう話とかをした と思うんですけど言語ごとにだから

このプールの浮きの位置ってのは 全然違っていて例えば動物っていう

集合をいろんな言語の人に渡した としてもその浮きの位置って全然

違うんですよね はいはいだんだんイメージが湧いて

きたなるほど じゃあ虹とかの色でもいいですけど

色っていうのとかも浮きをどこに 置くかって言語ごとでバラバラ

なんですよ 例えば赤っていう位置っていう

のは赤色を指す浮きの位置っていう のは他の色がどこの位置にある

かによってしか決まらないということ を体系だと呼んでいるんですちょっと

ごめんなさい難しく話しすぎちゃ ったかもしれないですけどわかります

言ってること 言ってることはわかりました

音疎もそうだと言ってるんですよ 疎集るはこれどういうことかっていう

とさっきの例で言うとわかりやすい と思うんですけどrとかlの違いの

こととかで言うとわかりやすい と思うんですけど日本語はつまり

そのrとかlっていう区別はなくて 一つの空間浮きの中に囲まれて

こう紐の空間だと見ているわけ ですけど英語はこの間にもう一個

なんか浮きを立てちゃってズバッ て分けてるわけですよね

人間が発音できる音っていうのは だいたいある程度決まってるという

かたくさん細かく分けてもそんな に多くならないんで人間の構造一緒

なんで同じような言語がしゃべれる としたら無限のグラデーション

があるわけですよね下の位置が 前なのか後ろなのかとか歯のあたり

で音出すのかみたいなのがそれを 好きなように浮きを置いて区別

しているとこれが体型です

この場合の体型はgどうかという か

体の系統

普通に体型立てる

そうですねあの体型ですねだから 二重の体型を成しているわけです

音と意味による二重の体型を成 してるんですよ

なるほどそうかそれは独立なわけ ですね全然関係なしに

額と頂を区別する人たちそこに v を置く人たちもいれば置かない

人たちもいるしそのプールとは 全然別のプールで

音のプールもあって音素のプール もあってそのプールも人間が出す

無限のグラデーションの音っていう のを言ってみれば連続的っていう

言葉を使ってもいいと思いますけど 音を無理くりどこかしらに浮き

を置いて区別している

rとlの間にvを置くやつもいれば 置かないやつもいる

置かないやつもいるっていうこと です

今そうすると浮きの位置ってさっき 他のものによって決まらないって

いうことを言いましたけど例えば 山っていうのの意味は何ですか

って言われると小高いあれだって いうことを言うと思うんですけど

じゃあ塚と丘と山はどう違うんですか という話になるとですね

塚とか丘っていうのは山よりも もうちょっと低いやつですよね

ソシュールはだから山っていう のは小高い土地でかつ塚でも丘

でもない場所のことしか指さない という説明をするんです

これは日本語の例えなので原点 では違う言語の話をしているんです

けど日本語に例えて言うとだから 山っていうのは積極的に定義できる

ものではないっていう小高いもの を指す言語っていうののプールを

一回作ってそこに浮きを立てて いって他の部分ではない部分が

山だと言ってるんですよ

結構やばいこと起きてるのわかります

えそうすか普通のめっちゃ普通 のこと

ほんとですかだってその理屈に 従って言うと積極的に定義できる

ものが一つもないってことになりません

ほんとだ

だって全てのものは出ないっていう 性質でしか語れないことになりません

ほんとだ今の話だとそうですね

人っていうのもそうなんですよ だから僕らがらの音とか言ってる

っていうのもらではない音っていう のを全部集めてそれ以外の音が

らでしかないと

うわほんとだそういう話になっちゃい そうですね今のプールの例えだと

ね

でここでソシュールがおーすげー って思うのは人はその犬とかイス

とかっていうのがあると思っている けれども意味の面でも音素の面

でも何々出ないっていう性質でしか 定義できないだろうと

こうなりますねさっきのプール の例えだと結局区切られた場所

がここっていう話だから

はい

それはいくらでも動いちゃうから そういつでも動いてしまうので

やっぱりそれを動いてしまうもの を定義するためには動いてない

他の部分を足し合わせてそこじゃない 部分としか言えないよねと

ショックですね

そうそうなんですよだからソシュール は名称目録的世界観を否定するんですよ

ほーでもそれはなんとなく想像 つくね

結局その絶対的な位置を指し示せる みたいな良い定義ができる世界観

が名称目録的世界観

そうですね目録っていうのはカタログ のことなのでつまりその名前の

ついているものをたくさん集めて いってすべて集めきったら世界が

記述できるっていう見方は間違 っている

はーそんなガチッと定義できる ものではない

そうそう例えばなんですけどだから 動物ってああいう動物っていうの

を一箇所に全部集めてきてそいつ の名前を全部調べ上げたら

動物のすべてを知ったことになる わけではなくって動物の中で

これは似たグループの中でどう 違うのかっていうことだけを調べ

ていかないと意味が決まっていかない と言ってるんですね

へーなるほど

ちょっとねだから話をまとめる とさっきのラングの話にちょっと

戻るんですさっきっていうか第 1回にしてたラングっていうのは

意味と音の結びつきとか規則を はっきりさせる学問だと言って

いたし記号っていうのはその意味 と音っていうのは結びついたもの

だっていうふうに言ってましたよね

そうですね

でそのうちの意味も音も両方の 構成要素が何々でないっていう形

でしか定義できないというふう に言っていて人がそれをあると

勘違いするのはマイナスとマイナス の掛け算だからプラスに見えてるん

だみたいなこと言ってるんですね

うーんほうほうほう

掛けるべきなのか足すべきなのか ちょっと分からんけどだから我々

があるって思ってるものは実は 何々でないものでしかないんだよ

と

へーなるほど

ということですねソシュールが 言いたかったことって僕はね世界

変わってみえたんですけどねそれ 聞いて赤ちゃんの頃にすげえ戻り

たいなと思ってそれ聞いて

へーどういうこと

だから赤ちゃんって単語を教わって ない状態って

そうですね

全てのものが繋がってみえると思 うんですよね

そうですね

だから人間ってのは認識が楽になる から単語を学ぶと思うんですけど

その結果まるでものがあるように 見えてしまうわけじゃないですか

さっきのソシュールの話で言う と

だけど赤ちゃん目線でいくと全て のものが繋がって見えてるわけ

だから

だから部位がない状態の世界が 赤ちゃんしか見えてない

そう赤ちゃんしか見えてなくて 不幸なのか幸運なのか分からない

けど単語を学ぶことでそういう見 方はもうできなくなってしまう

そうですね我々はだって椅子を 見たら椅子だと思います

そうそう

椅子とベッドが実好きだとは思わない

そうそう

だけど勝手な名前をつけてもいい わけじゃないですか

本当であればその切り分けっていう のがラングの原則で言うと

社会的に全員に認知されれば別に そういう名前をつけてもいいわけ

で

そうですね

例えば僕の職業はハイパーマルチ コスモポリタンメディアクリエイター

だよとか言ってもいいわけですよ いいわけですね

ソシュールはこれはパロールだと 切ってするんですけど

職業の人が納得しない理解できない 音の列っていうのは別に意味のない

ものだと言ってるんだけれども 別にそういう切り分けをしても

いいわけで

人によってはもしかしたら例えば チョークと黒板消しのことを授業

セットみたいな感じで認識してる 人もいるだろうし

赤ちゃんの状態のときだけがそういう ことを全く考えないでピュアな

状態で物を見れるんで羨ましい 赤ちゃんが

そうですね確か言われてみると そうだね

才を実感しないまま物を認知してる わけで

で多分それこそが本当の世界だ と思うんですよね

いや本当そうだわ われわれはもう与えられた言語

とか文化のくびきから逃れられない 絶対

やっぱねこういう話が構造主義 に繋がっていくし

レビストロースみたいな人とかも 突き動かしていくと思うんですけど

そうやっぱねそういうねピュア な認識っていうのも絶対にできない

んで

そうですね 羨ましいですよね

言われたら赤ちゃんが羨ましく なってきました

そうそうそうっていう話ですね

この回のタイトル赤ちゃんが羨ましくなる ラジオにするかもしれません

大丈夫ですね好きにしていただ ければ

なんかやります

もう一個ですね意味とは何かっていう 話を少しだけ足したいんですけど

現代の意味論哲学的な意味論だと 意味ってのは集合だということ

になってるんですよ

なんかまた難しそうな話が

どういうことかっていうとですね 猫っていう単語の意味を知ってる

っていうのは猫の集合を知っている ことと一緒だと言ってるんですよ

どういうことかっていうと猫っていう のの意味がわかるってどういうこと

かっていうのを仮に集合がわかってる ことじゃなくてニャーニャーなく

あれのことを猫だとわかってる っていうふうに仮定しますね

だから猫っていうのの意味をニャーニャー なく家で飼ってる玉のことだと思

っちゃってる人がいるとしたら

猫は魚を食べるっていう文章の意味 が理解できないと思うんですよ

その人の世界観だとその辺を歩いてる 野良猫は猫ではない

そうですそうです買い猫がもし 魚を食ってないとしたらですね

猫の一般的な猫に対する修正の 文章として猫は魚を食べるみたい

な文を聞いてもわかんない

まあそれはそうですよねうちの あいつ食わねえからな

そうそう逆に言うとだから僕ら って猫は魚食べるよねとか猫

って野行性だよねとかと同じような 感覚でこの猫かわいいみたいな

文章も言えてるっていうのは個別 の具体的な猫も抽象的な猫も両方

を理解してる

そうですねだから最初に言った 例文の猫とこの猫かわいいは違います

よね

厳密には違う英語だとそれは キャットっていう不定関心あキャット

とかキャッツみたいな不定関心を つけるのとザキャットみたいに

具体的な想像がいく猫っていう のは区別しているんですけど日本語

だとそういう関心がないので

本当だなんか言われてみると全然 意識したことなかったですけどちょっと

面白いですね

本当ですか

猫は魚を食べるっていう時の猫 とこの猫かわいいの猫は同じ響き

だけど意味違いますね

もっと言うとね例えばなんですけど 今から猫を飼いてくださいの猫

なんて具体的なもの何も示して いないんですよ何にも対応して

ないんですよ

でも猫の集合に対応してるんじゃない ですか

もちろんそうなんですけど例えば 猫の集合に対応してるっちゃそうか

でもそうか僕がこれから描く猫 は全ての猫のあれじゃないです

いきなり堀本さん猫ちょっと描いて くださいって言って全ての猫を描き

始めるわけじゃないですか

そうですね

ということはこの猫っていうのは まだ僕が発売した段階ではどの

猫でもないことにもなりません

そうか猫の集合のような気もする し個別の猫のような気もするし

っていうことですね

はいだから僕らが当たり前のように この猫を使った文章を言ってる

けどもその中で使われてる猫の 意味っていうのは違うケースって

のは結構あるしさらに言えば実際 に存在しない猫のことも話にできる

んですよね猫を描いてください とか猫を頭に思い浮かべてください

みたいな文章のときってやっぱり そういう事実からさっすらにやっぱり

人間が単語の意味を知っている ってことはその単語の集合の意味

を知っていて具体的な文脈が与え られるとその中から適当な一個

を取ってこれることだっていう 結論になってるみたいなんです

それが猫という言葉を理解している ということってことですね

集合の理解と物の理解はイコール である

そうですね要素分解するとその ように集合が理解できていてかつ

具体的なこと柄を文脈に応じて 引っ張ってこれる能力だっていう

ふうに定義されている

それが理解しているということ ですね

今話したような意味を理解している っていうことがこういうことだ

っていう結論はソシュールが指摘 したわけじゃなくてソシュール

は著書の中では特に意味って何 なのかみたいなことを詳しく説明

はしてなかったんですけど後世 の研究によってそれがわかった

とだけどソシュールが提唱した ラングっていう概念から今の意味

を理解しているっていうのは集合 を分かってそして集合の中から

具体的なものを持ってこれる能力 だっていうことは論証ができる

で

ですよ

数学とかと同じ要領でってこと ですね

後までめちゃくちゃ論理的な手続き をするっていうわけでもいいかもしれない

ですけど一応そのラングっていう ものを想定すれば意味が理解している

ってそういうことだよねっていう のは導き出せる

最新の数学理論とかだったらできるん だよとユークリットが言い出した

やつから導けるんだよって言われて もそうだろうなとしか思わないん

ですけど数学ってそういうもんだ よね

言語学でもそれに近いことが起き てるってことですね

いやそれは本当にそんなことできる の感が今あるんですよ僕の中で

信じてください

じゃあ信じます

ラングってちょっと忘れてる方 もいると思うんでもう一度おさらい

すると多くの人が心の中に持っている 音の列とかを聞いてそれを正しい

意味だと理解するための規則の集まり だという話をしました抽象的な

ものですね

ところでその意味ってさっきの ラングの定義からいくと誰にとっても

同じだと理解できないといけない ですよね

ところが具体的な自物っていう のは全て本来であれば微妙でも

いいですけど異なっているんですよ ね

例えばうちの飼い猫と隣の家の 猫は違う

そうですね猫でもいいですけども 例えばこのマイクだってこれは一緒

工業製品なので一緒だっていう ふうに人間の目は認識するんです

けどめっちゃ細かいレベルでい ったらなんかちょっと違うとか

部品の寸法が0.01で違うみたいな ね

ちょっと汚れついてるとかちょっと 傷ついてるとかっていうふうに

具体的な自物っていうのは全て 異なっていますよね本当であれば

だけども人間っていうのはそれを 無理くり一個の集合にまとめ上げて

それに名前をつけているわけですよ ね

っていう性質からいくとつまりちょっと 違うものとかを全部集めて名前

をつけているのであれば意味っていう のは集合を意味するってことは

当然だというふうな結論になりません か

ものがちょっとずつ違う本当は ね

だけど人間の記憶力は有限だから それにいちいち名前をつけてはいら

れないそこでそのものを全部まとめ 上げて一つの単語だと仮に置いている

わけじゃないですか人間って

なんかソシュールの言ってたあれ ですよね

単位によって名前が決まるみたいな ことでこれが猫みたいなこれが

マイクみたいな感じで決めているん だからそれってもう集合だよね

っていうことですか

そうそうそうなんですよだから 意味の決まり方の段階でもうすでに

それは集合なんですよ

はーなるほど本当だ

ちょっと似てるものとかを全部 まとめ上げて人間が勝手に単語

をつくってるわけだからということ はその意味っていうのが集合を表

すっていうことは乱句の前提から して当然だというような結論になる

はー本当だじゃあソシュールが 言ってたことはもう現代の理解

と一緒ですね

はいそうでもね僕ぶっちゃけその 意味が集合だって知らなかった

っすよ

そうですね言われてみればって 感じですかね

でも多分意味を定義しなさいって 学生に例えばレポート書かせて

集合だって指摘してくれば相当 いないと思いますよね

いないでしょそれはいない

そうそう次の飲み会でね唐揚げ の意味知ってるって言ったらえっ

これでしょみたいな

はいはい違いますよね

集合ですからね

揚げ物のうちフライでも天ぷら でもなんとかでもないものであり

みたいな

唐揚げが入ってる集合を理解してる ことが唐揚げの意味を理解してる

ことだからって一説したら友達 がいなくなります

そうですね確実に

唐揚げ積極的に定義しようとしたら まずソシュール警察から

お前唐揚げの意味ってあると思 ってないみたいな

ないんだよ本当は

Vが動くもんなんだよ他のもの との関連で

じゃあ最後にここまではソシュール の凄さみたいなのを3回にも渡って

しまいましたけど試験

ソシュールのどこが凄かったのか ってのをもう一度まとめ直したい

と思います

僕はそれはやっぱりソシュール ってのが言語に関してそもそも

言える口理みたいなのを見つけ 出したことと人間が持つ性質から

言語っていうのの特性を書こう としたことだと僕は思ってます

つまりよくさっきから品質概念 でしたけど人間の記憶力が有限

だみたいなこととかを結構使って いろいろと論証していたわけじゃない

ですか

そうですね

これって人間の記憶力が当たり 前だけど無限だったらこんなふう

にはなってなかったのでそういう 当たり前の人間っていうのは例えば

その音を同時に2個発音できない みたいなものとかとそれから今

観察されている言語の絶対これは そうだよねって言えるものをまず

設定してそこから今実際に起きている よくわからない言語の現象を単語

があるとか文法があるとかそういう ことをちっちゃい少ない口理から

導き出そうとしたとこが僕はすごい なと思っています

やっぱり哲学におけるデカルト の凄さに多分似てるんですよね

そうですね口理を設定したこと

みんな勝手にガチャガチャ言って きてるけど確かなところから導かない

きゃいけないでしょとじゃあそれ ってこれだよねってやったのが

すごいんでしょうか

そうですねだから文系と理系の 学問はどう違うのかっていう話

にちょっと絡んでくると思うん ですけどちなみに文系と理系の

学問ってどう違うと思いますか

難しい話だ文系と理系の学問サイエンス の定義は確かめられていた事実

確かめられる事実から法則を導き それは論理的であり反証可能でなければいけない

みたいな話だと思うんですけどそういう 話になりそうで理系の学問はそれを

満たしてなきゃいけないし文系 学問はそうでなくても良い気がします

でも経済学とかの中の一ジャンル だったら純粋にサイエンスっぽい

ものとかもあったりするので僕が 心の中で思っているものは学問

のうち人間を特別するかそれとも 人間も物理的な法則に従うもの

としてみなすのかだと僕は思って いて

眼蓄ありますねそれなんかその 定義いいですね

本当ですか使ってくださいじゃあ それ僕今度から自分が考えた人

を倒していいやなやつ 人間を特別されているかどうかなん

でね結局僕たちだから文系の学問 は人間を特別するんですよね

本当にそうだわ 人間自体を研究対象として変数

として入れ込むかそれとも人間 を不定定数としてそのまま自分たちの

理論の中で説明がいくものとして 学問を進めていくかだと僕は思

っていてそれで言ったらソシュール のやってたことってのはすごく

文系というか人間の記憶力は有言 だよねとか人間ってことを一緒に

発音できないよねとかそういう 人間そもそもの特質から言語を

記述しようとしたところっていう のはすげえ

本当だ っていうのもこの後とかに例えば

チョムスキーっていう学者とか 有名な言語学者とかがいたりして

言語学っていうのはチョムスキー とかが解いたのっていうのは数学

的に言語を記述しようとするような ムーブメントなんですね

ポールロワイヤル文法って第一 回でやりましたけどあれもどちら

かというと言語をいかに抽象的な 形で普遍的に描くかっていうこと

を目指していたっていうふうな 話だと思うんですけどやっぱ言語

学の歴史を見ていると言語ってのは 人間特有だよねーなのか数学のように

記述できるよねっていうのを攻め 気合みたいなのが起きてたと僕は

見ているんですよ つまり純粋に論理的に言語って

いうのを説明できる派と人間特有 のものだからそうはいかないよね

派がいてここの攻め気合があったん ですけど素心はこっちですよね

ほんだから 人間側ですね

人間っていうのはこういうもんだ からだからこういう人間は数学的に

記述できないものだからその前提 に立って言語っていうのを定義しよう

ねというふうにやろうとしたと思 うんですよ

なるほど なんかあれですね

そりゃそうやろって思う側面も あったんですよ

今のサシュールのすごさでやっぱり 人間を見てスタートしたみたいな

のはでもそういうもんじゃない と思ったけど確かにその前提ない

状態で言語研究しろって言われる と

なんか複雑なこの記号の意味こう だからみたいな数学っぽい方みたいな

アプローチになりそうで人間の 性質を置き去りにされそうだな

っていう気がしました そうなんですよ

だからやっぱり文章の研究とか をすると文章っていうのは文字

にされたようなものとかを研究 するとよく離れていっちゃうん

ですよ人からもう置き去りになんて 言うんですか人から一回離れたもの

じゃないですか書き文字みたいな ものはそうなってくると純粋に

論理的に研究しようみたいなふう にはなっちゃうし僕はだから素

シュールが若い頃に比較言語学 をやってたっていうのは無駄じゃなかった

と思っていてそれはどうしてか っていうと比較言語学っていう

のはどちらかというと科学的な アプローチを重視するというか

言語学を当時の科学に仲間入り してもらうために発展した学問

じゃないかと思っているで素シュール はだからそこをやってだけどこれ

じゃやっぱり人間の言語っていう のはうまく説明できないなと思

って逆側に触れたんじゃないかな って思っている勝手な妄想です

けどはああああああああああああ あそこが素シュールの僕のすごく

好きなところというかすごいな って思うところですね

ふくもと漫画の何かなんだこれ 天かな違うな銀と金かなんかで

多分あると思うんですけどこの 修羅の道を行く先に彼は何が待って

いるのだろうかそれは神なのかも しれないし悪魔なのかもしれない

だがそれでもやはり最後にいる のは人なのだろうっていう締め

くくりの何かがあったはずなんですよ 銀と金じゃないかな多分

銀と銀かな銀と銀かな

じゃないかなちょっと忘れました けど

でもなんか銀と銀っぽいですね ちょっと

っぽいだから今それだなって思 ったしなんか科学的なアプローチ

の方に系統して言語を研究して いたけどやっぱ最後には人を見ない

とだめだなっていう

やっぱここが言語学に限らず文系 学問の面白いところですよねやっぱ

人のことを単純な記述方法では 書こうとしないその前提に立って

人ってめっちゃむずいからこの まま見ようぜっていうスタンス

これやっぱ文系学問の面白いところ じゃないかなって思いますね

いやいい話ですね

本当ですか

頑竹あるわ

あとねもうちょっともうちょっと 今ソシュールのめっちゃでかい

話しましたけどちっちゃいところ でソシュールの学びによって人生

が良くなった事例で言うと語彙 を増やすことっていうのがソシュール

の理屈に従うと知ってる単語が 増えるとプールの部位がどんどん

増えていくんですよねそうすると だから世界を認識する網の目が

どんどん細かくなっていくこと だと思うんですよねだから本当に

文字通りの違いがわかる人になる わけでなんかやっぱ単語を増やす

と僕すごい語彙オタクなので知らない 単語あるとすぐ調べるし頑張って

覚えようとしてるんですけど単語 が増えると世界を認識する面白がる

網の目が増えるなとは思います ね

解像度が高くなりますね

そうですね今時の言葉を使うと 解像度が高くなるってことだと思います

けどそれはやっぱソシュールが 言ってたことですよね単語の意味

ってのは体系をなしているわけ でネガティブな形でしか意味が

決まらないってことをソシュール は言ってましたけどだから最近

ビール僕好きなんですけどビール も昔はやっぱり一番しぼりとか

黒ラベルみたいなものとかなんで 大手っぽいビールとクラフトビール

っぽいビールっていう認識しか してなかったんです

僕今それです

なんですけどいろいろ飲んでいって それに伴って言葉を覚えたことで

ビールの分類ができるようになり そしてその分類ができるとその

枠に当てはめてこれは例えばこの ジャンルの中で特に甘いなとか

そういうふうなことが分かるよう になるし前も話しましたけどやっぱ

分類することが分かるってこと ですからね

そうですね日本語に出てますもん ね分類の分が分かる

分かるってのは分けられた状態 であることですからそういうような

人生の面白がり方もソシュール から学べるんじゃないかなって

僕は思います

素晴らしいまとめ人生の楽しみ はソシュールが教えてくれたですね

人生のソシュール人生の9割はソシュール ですね今時のタイトルで言うと

編集者ですもんね

人生の9割はソシュールこれを 皆さん覚えて帰ってください

そうですね

はいじゃあちょっと最後に改めて すごい長くいろいろと話してしま

ったし途中で概念的な話も続いて ちょっとすっとばした人とかも

いると思うので

10分飛ばした人いるかもしれない

最後にこれまでの3回分で話した ことをまとめますとソシュール

の生い立ちを1回ではしゃべって ソシュールにはそのすごいポイント

個人的すごいポイントが3つある っていう

一つは言語学が何を研究すべき かってことをはっきりと示した

ことこれはラングの教示題を研究 しろというふうにソシュールは

言っていた

ソシュールがラングの教示題を 研究しろと言ったよりはこれが

流線だと言語の本質が分かるのは これだというふうに言ったと

2つ目が言語学における公理みたいな のを考案したということですね

 c制と線上制

そして3つ目が単語とそれから音 素っていうのがそれぞれ体系を

なしていてこれら両方は本来で あれば何々でないという形でしか

定義できないけどこいつらが掛け 合わせされることでなんかそれが

あるように見えてしまうような イリュージョンが起きているという

ようなことをソシュールが言って いたんですよねって話をしてきました

どうでしたかこれ聞いてソシュール の印象が変わったりとかソシュール

のことどう思ったみたいな感想 とかありますか

やっぱり面白かったのは直感に反 するというか言語学なんてどうせ

あれでみんな好き勝手なこと言 ってるんでしょうってイメージ

だったのがそれなりにユークリット の公理からみんな紀元前から

記科学一生懸命発展させてきました みたいな感じでこうやっぱ公理

あるところからスタートで最新 の話が一応そこからも導けるん

じゃないかという感じになってる っていうのがちゃんとした学問

ってどっかしら共通点みんなあるん だなっていうの思いましたね

そういう意味ではゆる言語学ラジオ っていうふうに題してますけど

日本語が功労ビューティー的です とか言ってるっていうのはソシュール

からすると全然言語学じゃないん だなっていうことでもありますよね

そうかそうか

そう反昇不可能だしだからこの ラジオで言う言語学っていうのは

もっとゆるふわした定義ですけど ソシュールとかがやろうとしたら

もうちょっとサイエンス寄りでも ありそれでもなお人間への眼差し

を忘れないっていうことだったん でしょうね

いや大変勉強になりました

よかったです

はいということで今回も終わり にしたいと思いますyoutubeチャンネル

登録高評価とかしてくれると嬉しい です

では終わりにしたいと思います ありがとうございました

ありがとうございました

