オリモトさん

はい エレベーターは一気と数えてましたよね
あえず偶数回切り分けると そこから蝶という数え方がついた

みたいです それとは別でその1パックは本来

半兆 だから

それは別問題としてとにかく切り 方が偶数回だったから

そうですねということで蝶と呼んで いるみたいですね

ではなぜラーメンも注文が入った 時だけ1兆と数えるのでしょうか

ラーメン1兆って言いますね 生1兆とか半炒飯1兆の蝶

おーでも直感からするとさっきは 偶数回が蝶だったはずなので

ラーメン1兆は変ですよね ラーメン1半であってほしい

そうですね人皿とかでもいいですけど じゃあわかりましたよあれでしょ

店員と客のラリーなわけですよ 注文っての

はいはい 客がラーメンくれって言って店員

が okラーメン持ってくぜって打ち返 してるわけじゃない

だからこのラリーを指して1兆なんですよ

偶数回目の応答が蝶だと 応答が必ず偶数回になるから

今回の蝶はさっきの蝶とは全然 違いました

違うんかい 練習問題やったんだからせっかく

応用で解かせてくれよ この時の蝶は物事のピークという

意味です 全然違う

ずるいななるほど だから勢いがある時に使われる

と これ入試問題だったら悪問ですよ

問1でせっかく誘導させて 問2で全然違うんかい

誰が誘導って言ったんですか 勝手にそう思ってしまいました

けど だからふんどし1兆とかそれから

1兆挑戦してみるかの蝶とラーメン 1兆という本質は一緒だと書いて

ありました つまりその物事のピークで引き

かまってるみたいな勢いのある 助数詞だと

だからあれもそうでしょ お前1兆前なこと言いやがって

そうですね ラーメン屋の店主に数え方の辞典

を表した飯田あさこ先生という 助数詞の研究者の方が聞き取り

調査をしました 何聞いてんだよと思うんですけど

どうして2兆ではなく2兆と数えるん ですかという質問を飯田先生は

ラーメン屋の人にしたみたいです ラーメンって2兆って数えるんですか

2兆じゃない 結構飲食店だと半茶半2兆みたいな

言い方飛び交ってるんですよ 不自然だなあと1兆の次2兆なの

変だなと思って飯田先生はそこに 課題意識を燃やして引きに行った

と 学者っぽくていいですね

そこ気にするんだって そしたら店員さんに言われたのは

なんか2兆だと2の音が聞き取り づらくてオーナーミスが起きる

から2にしてますみたいなことを 言ってて

うるさい場所で生まれる言語表現 みたいなのがあるってことですよね

おーちょっと話取れるかもしれない ですけど僕大学時代一瞬航空部

っていう部活に入ってました グライダーという乗り物動力ついて

ない飛行機なんだけど結構ちゃんと 飛ぶやつ高度1000mとかまで行く

やつに乗る部活をやってまして 無線で行進するんですよベース

キャンプとベースと その時に高度を教えなきゃいけない

ですね離脱高度っていうんですけど トントン出て動力から切り離された

高さをすぐ無線に入れて離脱高度 いくつって言うんですけど言い方

に決まりがかなりありまして410 って言っちゃいけないんですよ

410mの時必ず離脱高度400党と言い なさいとなぜなら420とかと似てる

からですね410だとだから400党って 言わなきゃいけないしABCDも一切

言っちゃいけないフォネティック 高度で全部AのことはαBのことは

αと言いなさいってかっけーな みたいな

二丁と一緒だな多分 そうだから無線というガヤガヤ

した行進で祖母が生まれないために 徹底したルールが敷かれててあれ

ラーメン屋と一緒だったんだって ですね俺も今びっくりしました

だしねあと思ってると逆に言う と平時の言語というのは聞き間違い

が起きちゃってもしょうがない体系 のまま容認されてるということ

ですねもう一回言ったらいいじゃん ってことですね平時は

ね英語だってtwentyとtwentyが似すぎ たろみたいな

そうですねめっちゃ似てますね そう似すぎててこれわかりづれ

だろってめっちゃ多いしリスニング で引っ掛け問題とか

あるもんね13と30引っ掛かりまくる もんね

ちょっと思うとこありますよね そうね

じゃあ続いてなんで数えるのシリーズ いきましょうか

大砲これは大砲は一門とかどうですか はいはい聞いたことある

どうしてでしょうか あれじゃないでも大砲って設置

するときに車輪みたいなガラガラ ガラガラってやつで行くと思うん

ですけどちょっと僕が想像してん のナポレオンなんで現代は違う

かもしれないですけどちょうど ナポレオンがね大砲を使った戦術

が得意だったんだけどボロ負け した戦いくつかあってワテロン

の戦いであれ廃員は雨降ってて ぬかるんでたからなっていう本

をこないだ読んで 間抜けだな

かっこ悪いなあナポレオンぬかるん で大砲進めなくなったっていう

あの絵大砲が二つの車輪でガラガラ ガラって行くのは門っぽいから

じゃないですか これ違うみたいで

門の本質助数詞門の本質は狭い ところを通るだと

大砲が発射されるのは狭い砲身 をくぐり抜けて出ていくから

弾丸視点まさかのそこによく目 行ったな

だから門と数えるんですこういう の面白いですよね

他にも行きましょうか なぜ蝶々は塔と数えるのか

ちょっと待ってそこ前提がよく 分かんない

うんちくりしてたなこれ 蝶々って塔って数えるんですか

蝶々の助数詞は塔ですよ どういう字

頭 初めて聞きました

側引きで蝶々は塔ですよ 違う聞いたことあるなそれ

うんちく本で見たことある うんちく本のデータなんだけど

これは英語では家畜のことをヘッド とカウントしていたと

ワンヘッドとか その後動物園で飼育する動物も

英語では同様に塔だと数えるよう になったと

その後珍しい蝶の実を日本でも ヘッドと数えるようになったと

輸入されたときにそういう概念 が

英訳ですね 英語でヘッドとして入ってきて

蝶々のこれヘッドって数えるんだ みたいな

日本語に直訳したら塔だなということで 蝶々だけが種類に関係なくヘッド

と呼ばれるようになったということ ですね

要するに英語圏の人がめっちゃ 頑張って飼ってた蝶

そうです貴重な動物園とかで管理 してた貴重な蝶ですね多分

だから別に蝶じゃなくても起こり 得たってことですね

そうですね たまたま蝶々だけ日本で起きた

ガオめっちゃ可愛がってた外国人 がガオを日本に持ってきて

これヘッドだって言ってたらガガ 塔になってた可能性が

可能性ありますね じゃ全然偶然なんだ

そうですね 俺これ聞いて思ったのが

ヘッドで動物数えるの結構言語 一般に見られるかもしれない

って思ったんですよね そうなんですか

日本語で頭数っていません 言うね

これやんと思って完全にヘッド やんと思って

そうだね頭が一番わかりやすい ですからね

人の数数えるときに もちろんそうなんですけどヘッド

でねだって日本語だって名前で 数えてますからね一名とか

うんそうだね ラベルで数えてますからねそういう

意味では 頭に必ず限るわけでもないと思

うんですけどね 動物の数え方で

ひきとか頭とかがあると言いました よね

あれ動物園の飼育員は動物のこと をひきだと数えないんですよ

自分の動物園にいる動物のこと を

全部一頭と数えるんですよ それをこのまま先生が明らかに

したというか聞き取りで分かった と

つまり例えばヘビとかでもクワガタ でもアザラシでもペンギンでも

全部一頭と数えると 一匹とは言いません

不思議 でも気持ちわかりますよね

そう 要は飼育員さんって動物園に対して

の親密度が全然違うしひきって 結構ちっちゃくてあまり大事に

してないときに数えることとか もあるんですよね

例えばクワガタの中でもバイバイ が成立するような高価なクワガタ

は党と数えるんですよ わからんでもない気がしますね

すげえ面白いなと思ったのが 飼育員さんに本当に動物のこと

どれもひきと数えないんですか と聞いたら

そういえばこれだけひきと数えます っていう回答が書いてきたんですよ

なんだと思いますか 僕どうしてもじゃるじゃるのコント

が頭にあったんで カバはカバやろうもちろん

そんなにも見てますね youtubeでみんななんのことかわかんない

と思うんですけど リンクを貼っておきましょう

じゃるじゃるでカバをカバだと思 ってるやつっていうメタル

カバをカバだと思ってるやつめっちゃ 面白いですよね

そう飼育員さんでねキリンに餌 上げるときどうやってやってる

って言って キリンさん大きくなれよって言って

餌上げてますって言って カバはどうやってやってるって

言ってたね カバはカバやろう

カバだけめっちゃ扱い悪いですよ そうそうありますよね

僕今の質問された瞬間にあれが カバはカバやろう

俺もそれ思い出しました でもカバではないんすか

カバじゃない 唯一引きのやつ

カバは引きやろうって あれは引きやろうってなんだろう

これじゃるじゃんのコントじゃないん ですか

じゃないですね なんだろう

なるほどって思いましたよ これ聞いて

唯一引きになるやつか あれかなマントヒヒかな

なんでですか いやかっこ悪いから

個人の感情じゃないですよ 飼育員さん一人に依存するその

パーソナルな話じゃないですよ そっかみんなそう答えるんす

ヒントいきましょうか バッタです

えヒントというか答えじゃない 違うんですよ

えあれですか殿様バッタとかそういう ことですか

違う違う違う 殿様っていうフレーズが偉そう

だから腹立つなこいつ 引きで呼んだろう

そんな性格悪い骨元さんみたいな 飼育員になってないんですよ

まあそうでしょうね 正解言いましょうか

イグアナの餌のバッタ だけ引きと数えてますと

そういえば 大事にしてないからね

本質ですよこれが 本質ですねこれ

エマとオミクジこれは一体と数える とあったんですけど

体ですね 神は柱で数えると言いましたよね

初回に ただ神が宿ったものは一体と数える

んですって 不思議

不思議なんだけどオミクジとエマ はその点で一緒だから

例えばエマっていうのが薄くて 一枚と数えられるものであっても

神が宿ってるから体になるんです って

だからミイシーじゃないってこと ですよね

形状で呼んでるものでも神が宿る とそれをさらに上位概念として

体があって それで数えちゃうみたいなことも

あって これも面白かったですね

だからエマとオミクジが共通してる 理由なんなのっていうところは

神が宿ってるかららしいです

でもそれいいわ 初詣で使えるうんちくですね

確かに 結構インパクトファクター 高めのんちくかもしれない

そうですね 披露するタイミングがあるから

蝶々数えるタイミングなかなかない ですからね

そうですね あと車どうやって数えますか

一台じゃないですか なんで台

え だってそれしかないじゃん 台

台ってこういうやつですよ 全然別物じゃないですか車と

確かに物を置くための台ですもん ね

車は絶対そうだわ台じゃないわ 台じゃないですよね

4輪とかわかんないけど そういうとか1区とかミニ4区

の区域とかああいう言葉の方が 無理そうなのに台になっちゃってる

んですよ 本当だ

これちょっと調べました その結果元々台や台座2車を数える

ときに台を使っていたと そしてその2車

つまり最初ガソリン乗用車が出 たときには機械で動く車っての

も2車の要素を使って台と数えた と

台車の台ですよね そうですね台車の台

台車のアナロジーで今でも日本語 では台と数えているということ

ですね はいなるほど

やっぱり新しい概念が入ってきた ときにそれをどう数えるのかって

面白いのはだから助数詞制定委員会 みたいなのがないんですよ

入ってきたときにこれは日本の 皆さんこう数えましょうっての

がないからどこかのタイミング でポッと生まれたものってのが

採用されちゃったり広まったり するんですよ

だから現代のはなんでこう数える のみたいな

豆腐なんてそういうこと切り方 なんかに注目すんなよということ

が大きく起きちゃうのはそういう ことなんですよね

だから助数詞制定委員会がない からこんなにおもろいってのも

ありますよね すごくきれいにすっぱり決めちゃ

ったりとかしてないから人間の 全然一貫性のない様っていうの

が助数詞にすごく反映されてる もっと正確に言うと助数詞の体

形ですね主義的な言い方をする と

ごっちゃくたなんですよ助数詞 の体形

神宿るからこれとか薄っぺらい からまあいいとか流れてるから

流れとかハチャメチャな体形が あってきてもオーソリティがいない

ことによる面白さですねこれ 昔オカルト研究の第一人者が書いた

本みたいなのを読んだんですけど オカルトにこそ真実があるみたいな

人間の真理がある人が出張して て

ワイズマンじゃない人 ワイズマンも多分似たようなこと

書いてる それはなぜかっていうとオカルト

って完全に誰かが作ったものじゃ なくてみんなの恐怖心とか

いいこと言うな ちゃんと誰かが学者が言い出した

ことじゃないことが集まってきて いるからみんなの真相真理とか

恐怖とかがありありと映し出される のがこれであると

これがもし国家レベルとか大きい 組織が決めるとかだとちゃんとした

組織の論理でちゃんと組み立て られたものになってしまう

オカルトこそが正しく民衆の混乱 を反映している

すげえいいじゃんと思ったんですけど めちゃくちゃ今刺さりますね

その助数詞の話を聞いただと 全く一致ですよね助数詞の構造

も だからそういうインテリみたいな

人たちがこの助数詞はこうしましょう っていう基準を設けなかったから

こそこんなに面白すぎる時点が 生まれたということですね

これ面白いわ でしょ

他にはですねパソコンなんて数え ますか

パソコンも台じゃないですか 台ですよね

なんでマウスは台と数えないんですか マウスはこうですかね

こうですよね なんでだと思います

台の本質に関わるんですよね さっきの車の台とはまた別で

はぁはぁでもあれじゃない パソコンは結局四角いけど

マウスは丸いじゃないですか マウスパッドは台になるんじゃない

ですか そしたら

ほんとだ 四角関係ないんですよ

ほんとだ 台の本質はそれ一つだけで機能

するかどうからしいんです だからパソコンとかはあとスマートフォン

みたいな単体で機能するものは 台と数えると

たとえば逆にイヤホンみたいな ものは台と数えられないと

単体では機能しないから へぇ

ああ言われてみるとそうか マウスもそうですよね

うわぁ判例見つけて そう多分あると思う

何か探したらありそうですけど ただ納得感はありますよね

台って数えるものスマートフォン が出てきた時に一個と数えなかった

っていうのは そういう意識の反映が無意識に

あったんでしょうね そうですね

最後にめちゃくちゃむずいやつ だけ少しだけ話しますね

それが本論文ろうそくダイアグラム 収録とかを数えてたあの本

あれが共通するものないって言って ましたよね

言った 言ってましたよね

めっちゃむずいんですけど 一応答えを出してくれたんです

ちょっと待って今聞いてて不当 思ったこと言っていいですか

ダイアグラムって流れがあるじゃない ですか

こう何時にどこどこ出て何時に こうで

論文もそうじゃないですか 流れがありますよ論子の

前提a前提bがあって結論があって この流れを細長いものと

みなして本と数えてるじゃない ですか

本質迫ってきますね 研究者の結論としては

ある程度の時間づくに沿って行われる 一続きのもの例えば収録とか練習

みたいなのっていうのも時間を こう捉えてるわけだし

ダイアグラムっていうのも本当に ダイアグラムっていうか

電車一本っていうことありますよね あれも電車のダイアグラムのこれを

数えてると 電車一本っていう時の一本っていう

のは電車のダイアグラムを数えてる んだっていう

本当か電車一本逃しちゃったとか 言うけど

この電車一本長いなとは言わない ですねとか

あそこに使われてない電車が一本 あるというのは

電車のダイアグラムを比喩的に 数えてるのであって

電車は基本的に台と数えますよね 位置量とかっていう風に数える

わけで 電車の動きのタイムスケジュール

のことだけ本と数えてるわけですよ ね

流れを数えてるんだあれやっぱり それからホームランは何なのか

というと 放物線を数えてるんじゃないか

という説を提唱してて ろうそくは形そのままだと

ということで本っていうのは実は 一応そういう本質で束ねることが

できるんじゃないかという風に 結論付けていました

やっぱ助数詞の心が初回言って は考えられないくらい

僕の中にねばいて 成長してる

これひょっとしてこうじゃないか って今ひらめいたもん完全に

ただこの研究者はですね わからないやつあるなと思ってまた

聞き取り調査を行ってます それが柔道の一本

わかんねえ なんでだろう

そうわかんないですよね この先生偉いのが体育会の生徒

に聞くんですよ 偉い

柔道部の生徒にごめんつって なんで柔道って一本って数えるんだ

と思うとか剣道のことかにしたら これ本当かよと思うんですけど

みんなが育同音に言ったのが 神技体を一本化したことで技が

決まってるからですっていうらしい です

それあれでしょ先生が言う説教 くさい話でしょ

それ学生言う本当に そんなこと

言ってましたよ そんなことが分かったって言って

ました 僕中学の時の体育の他人の先生

とかが言ってるのありありと思い浮 かびますよ

神技体が一本に揃わないとダメ だから柔道は一本なんだと

もう助数詞の話ずっと続きすぎて 触手を気味かもしれない

そうですね もう少しだけ僕に時間をください

これ勉強して思ったことですね ちょっと振り返りみたいになります

けど やっぱ助数詞体系なしてるなと思

ったんです 素手ウルの回でやったやつね

素手ウルの教え思い出しました ね

具体的な例の話をしますね ロボット犬が発売されました

犬ね 昭和かなに最初どう数えられたか

知ってますロボット犬って でも一匹じゃないですか

違うんですよ タイだったんですよ最初は

要は助数詞の体系が完成した直後 完成って本当は体系にはないんですが

助数詞の体系のその時期にはロボット 犬なんて当然想定されてないわけ

で だからどこかしらの部位に入れ

なきゃいけないわけですよね 素手ウルが想定したプールの中の

どっかに入れなきゃいけないわけ ですよね

なのでロボット犬はわかんない けどとりあえず機械でしょと

タイにも突っ込むんですよ ただ

そもそもタイと数えなかった理由 ですねロボットですからパソコン

みたいにタイと数えてもいいわけ ですよ

単体で完結すればタイなんですね ただタイはかなり無機質なので

ロボット犬が一台家にいるって 言ったとき犬要素めちゃくちゃ

なくなりますよね ある種めちゃくちゃ際どいライン

なんですよ ロボットなんか犬なのかってのを

どう認識してるかが助数詞にめちゃ くちゃ反映されてタイはやめてタイ

にしたんです 楽しいその話

タイなら一応例えばですけどアイボン みたいなものも数えられる四足

方向とか二足方向のロボットとか も数えることができると思うん

でというわけで最初タイにした ただ

情が移るにつれてひきと数える ように変わったんですって

なるほど だから堀本さんの最初の回答に

あったロボット犬を家に飼って いてその子に愛着が湧いてきた人

から順にひきと数えるようになって きたということなんですよ

僕はスルッとひきが出てきたって ことは僕はやっぱりロボットに

愛着を持ってるんですよね 最初に想定した人たちに比べて

あるいはもうすでに出来のいいロボット を知ってるからそう数えちゃうかもしれない

です だから最初ロボット犬って言って

も犬ほどの反応が得られなかった りしたらどっちかって言ったら

ロボだなって認識しちゃうと思 うんですよね

多分ですけどロボットの数え方 と

ロボット犬ってのは犬だと思います かロボットだと思いますかって

質問はおそらくリンクすると思います ひきと数える人はどちらかという

と犬だと答えると思うしっていう だからはっきりとロボットに対して

こういうふうだと思いますっていうこと って表明してなくても助数詞で

数えちゃう時点で勝手に出ちゃう と

投票してない状態はないんですね 呼んでる時点で

それが例えばtwo robot dogsみたいな ロボトドックスっていうか分かんない

ですけどっていう数え方だったら 出してないわけですよね生き物

かそれとも生き物じゃないかみたいな 有生物か無生物か分けてないわけ

ですよ英語の場合は日本語は助数詞 で数えた段階で既に勝ち判断が

伴うので

僕ロボット系の研究室にいたんですけど 大学生の時一つうちの教授がやり

たがってた研究テーマでルンバ の可愛さっていうテーマやりたがって

いてルンバって財布だったの機械 だと思ってみんな出してるしみんな

買ってるから一台ですよね一台 的な感じで家に来るんだけどだんだん

可愛くなってきて猫乗っけた動画 とかバズったりするわけでだんだん

引っかかってるのが可愛いうちの ルンバちゃん救出してあげたみたいな

感じになってきていてtwitterを 分析してると明らかにみんな途中

から愛顔動物としてルンバを見始め ているとだから掃除なんてなんなら

失敗しててもいいみたいな感じ になっているのでこの可愛さを

出していけば工業製品に未来がある つまりルンバって掃除機能を高める

しか今までは試乗で戦う方法がなかったん だけど可愛さで圧倒したルンバ

掃除あんまできないんだけど可愛 さで圧倒したルンバがいれば勝てる

可能性があるわけですよラケット でだからこれは工業的に非常に

興味のあるテーマでやったほう がいいみたいなこと言ったんです

けどこの助数子の話を踏まえて 言うなら代を匹にしあるいは一人

にするっていう研究だったんだな あれはって思いました

そして多分教授は定量的なもしか したらルンバに対する愛着みたいな

のを数値化できなかったかもしれない けど助数子の変遷を見ればルンバ

の数え方の変遷を見るとおそらく 匹がどんどん増えていくので

本当だ それで数値化できると思います

これ分析かけたら超面白いですね そうそうと思います

いいわ っていうのがちょっと一つ思った

ことでこれに関して飯田先生は また面白いこと言っていてポケベル

も最初代だったと言っていたんです 高校生が持つようになると高校生

はアクセサリー感覚になってつまり 機械ではなくて自分のアクセサリー

だと認識した辺りから匹に変わ っていったと電話機というのも

最初は代だったが携帯になって みんなが持ち運ぶようになった

結果匹に変わったとだからスマートフォン も私は発売から10年今経ったけれども

みんなそろそろこと数え始めるん じゃないかと思っていただけれども

いつまでだってもスマートフォン はみんな代としか数えないのが

ちょっと不思議だったと言って 助数詞感覚鋭敏すぎって話になった

ずっと考えてるんでしょうね そのこと

だからいつまでだっても代から 変わらなくて確かにスマートフォン

本当に機能が多いのでこと数える には抵抗があるのかとかもし助数詞

が変わるとしたら超薄型が出た ときにmaiとして数えるんだとか

何を考えてるんだろうこの人は っていうことをずっと考えていて

愛おしいなって

そうですねあとちょっと今僕すげー 笑ってしまったんですけど僕も水野

さんもめっちゃ早口で思う

本当

やばい僕自分でルンバの話してて すげー俺早口でしゃべってんなー

と思って

まじか俺気をつけてるけど早口 でした

テンション上がったオタク特有の 早口だなと思ってビビったんです

俺ながらで割れながらビビった 気をつけよって思って今水野さん

ターン渡ったら水野さんもめっちゃ 早口出たねオタク特有の早口ラジオ

になってる

わー出ちゃった出ちゃったしょう がないなもう

ちょっとテンション上がってしま ったんで

いやー助数詞やっぱやばいんでね

これやばいですね面白いわ

威力エグいんで

だから0.95倍速で聞いてもらった 気持ちじゃない

そんなないでしょ

ということで今回はその助数詞 なんでそれなの的な話とそれから

助数詞も体型なしてるんじゃない かみたいなそしてルンバの数え

方そしてロボット研の数え方という ので日本人の認識が見れるという

話をしました

一応これは前回の予告通り助数 詞というのは日本人の認識その

ものだというような話を最後に 軽くしたんですけどそれが確かめ

られたような話だったんですが この後この後っていうか本当はね

もう3回とかでおらせる予定だったん ですけどちょっとあまりにも長く

なっちゃうので

オタク特有の早口が出てしまいました からね

この後その助数詞の一般法則的な やつ言語一般に見られる助数詞

に関する抽象的な法則について 話していき僕最後の結論として

助数詞とはゲルニカだという結論 を導きたいと思ってます

引きあるさすがですね面白そう

ピカソというゲルニカだと思います 僕はあれはという話をできたら

と思ってますのでもう1回だけね ちょっと僕にチャンスをください

だんだんズルズル伸びていくっていう やつになってますけどでも面白い

んで多分みんなも聞いてるみんな もなってるんじゃないですか助数詞

図廃

いや嬉しいですねそんな人が1人 でも増えていけば

そうですねじゃあ次回も引き続き 皆さんお付き合いいただければ

と思います

はい

じゃあ終わりにしましょうありがとうございました

ありがとうございました

