Type    ,Id            ,Token                                                                                                                                                                                                                                                          ,Speaker
Morpheme,167#00:10:45#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:11:05#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:11:25#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:11:45#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:12:05#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:12:25#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:12:45#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:13:05#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:13:25#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:13:45#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:14:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:14:23#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:14:43#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:15:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:15:23#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:15:43#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:16:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:16:23#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:16:43#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:17:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:17:23#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:17:43#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:18:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:18:23#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:18:43#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:19:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:19:23#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:19:43#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:20:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:20:23#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:20:43#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:21:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:21:23#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:21:43#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:22:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:22:23#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:22:43#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:23:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:23:27#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:23:47#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:24:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:24:27#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:24:47#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:25:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:25:27#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:25:47#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:26:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:26:27#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:26:47#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:27:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:27:27#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:27:47#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:28:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:28:27#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:28:47#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:29:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:29:27#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:29:39#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:29:41#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:29:47#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:30:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:30:27#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:30:47#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:31:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:31:27#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:31:47#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:32:15#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:32:35#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:32:55#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:33:15#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:33:35#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:33:55#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:34:15#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:34:35#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:34:55#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:35:15#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:35:35#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:35:55#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:36:19#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:36:21#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:36:41#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:37:01#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:37:21#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:37:41#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:38:01#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:38:21#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:38:41#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:39:01#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:39:21#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:39:41#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:01#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:05#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:07#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:09#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:29#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:31#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:33#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:35#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:37#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:57#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:40:59#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:41:01#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:41:03#0,しゃちょーエンディング                                                                                                                                                                                                                                                    ,
Morpheme,167#00:41:05#0,をしてたんですけど買い出しに頻繁に行くのがめんどくさすぎて                                                                                                                                                                                                                                  ,
Morpheme,167#00:41:09#0,10日に1回だけ買い出しをしてたんですよ10日間のこんだてをなんとなく                                                                                                                                                                                                                            ,
Morpheme,167#00:41:14#0,頭に入れながら10日分持つように食材を買うだから日持ちしない肉                                                                                                                                                                                                                                ,
Morpheme,167#00:41:19#0,とかは手前でかなり使い切っておいて後半は日持ちするものを食おう                                                                                                                                                                                                                                ,
Morpheme,167#00:41:23#0,みたいな計算をめちゃめちゃしながら10日分のものを大量にカートに放り                                                                                                                                                                                                                             ,
Morpheme,167#00:41:28#0,込んで買ってくるのをやってたんですよ生活したらストアに行く度に                                                                                                                                                                                                                                ,
Morpheme,167#00:41:33#0,めちゃくちゃ疲労でいっぱいになりました避兵して帰ってきたしいつも                                                                                                                                                                                                                               ,
