Type,Id,Token
morpheme,13#02:17#0,というのがあってですね
morpheme,13#02:19#0,ゴリゴリの音響機材をもう買うしかない
morpheme,13#02:22#0,専用機材を買いましたね、これね
morpheme,13#02:24#0,誰にも要求されてないけどやってしまったと
morpheme,13#02:29#0,でもね、ちなみにこれ6万円くらい使ったんですけど
morpheme,13#02:32#0,その額
morpheme,13#02:34#0,投げ銭してくれた方がいて
morpheme,13#02:37#0,面白いですね、EUROGEN豪華グラジオみたいな
morpheme,13#02:38#0,ありがたいですね
morpheme,13#02:39#0,頑張ってくださいって言って3000円投げてくれて
morpheme,13#02:42#0,よしコンテンツ改良のために使おうって言って
morpheme,13#02:45#0,レバレッジがかかりましたね
morpheme,13#02:48#0,レバレッジ20倍
morpheme,13#02:49#0,はいはいはいすごいね
morpheme,13#02:51#0,すごいですよこれ
morpheme,13#02:52#0,20倍のレバレッジかけて使ってしまうという
morpheme,13#02:55#0,ぐらいの感じでコンテンツが改善されていきますので
morpheme,13#02:58#0,投げ銭されると
morpheme,13#03:00#0,皆さん投げ銭してくださいよかったら
morpheme,13#03:02#0,試しにね例えば10万投げ銭してくださったら
morpheme,13#03:05#0,堀本さん200万費やしてくれるわけですから
morpheme,13#03:07#0,破産するわそんなの
morpheme,13#03:10#0,絶対やっちゃダメですからね
morpheme,13#03:13#0,10万の場合はレバレッジ20倍かけない
morpheme,13#03:16#0,固定のレバレッジじゃないんですか
morpheme,13#03:17#0,固定のレバレッジじゃないです
morpheme,13#03:19#0,さすがに破産しちゃうんですよ
morpheme,13#03:21#0,試しに入れてみようかと思いました
morpheme,13#03:23#0,そういう悪いところありますよね
morpheme,13#03:28#0,ということで投げ銭も大変
morpheme,13#03:30#0,費用対効果良いですよということですね
morpheme,13#03:33#0,押せば押すほど
morpheme,13#03:34#0,押しが答えてくれるわけですよね
morpheme,13#03:37#0,私ねあれらしいんですよ
morpheme,13#03:40#0,幸福をお金で買う5つの授業
morpheme,13#03:42#0,という本がありまして
morpheme,13#03:43#0,これめっちゃ面白かったんですけど
morpheme,13#03:46#0,みんなのお金の使い方下手だと
morpheme,13#03:48#0,幸福に直結しない金の使い方を
morpheme,13#03:50#0,結構みんなしていると
morpheme,13#03:53#0,一番わかりやすい例で言うと家
morpheme,13#03:56#0,家に使う金
morpheme,13#03:58#0,人生の出費の中で
morpheme,13#03:59#0,トップクラスに費用対効果悪いんです
morpheme,13#04:02#0,確かに出費が大きいですからね
morpheme,13#04:04#0,そうだし主観的な幸福度の調査
morpheme,13#04:07#0,アンケートみたいなやつで
morpheme,13#04:08#0,主観的な幸福度の調査を取った時に
morpheme,13#04:10#0,ほぼ変わらないんですよ
morpheme,13#04:12#0,固定立てた人と
morpheme,13#04:13#0,すごい安い家に賃貸する人
morpheme,13#04:16#0,みたいな割とサンプルの大きい
morpheme,13#04:19#0,ちゃんとした結果から書いてる本があって
morpheme,13#04:22#0,その中に明記されているのが
morpheme,13#04:25#0,人にあげると
morpheme,13#04:27#0,幸福な使い方です
morpheme,13#04:29#0,最も幸福な5つの使い方の1つ
morpheme,13#04:33#0,が人にお金をあげる
morpheme,13#04:35#0,これはもうね
morpheme,13#04:36#0,ギャラップ世論調査みたいな
morpheme,13#04:37#0,アメリカの世論調査で
morpheme,13#04:39#0,130万とかのサンプルで
morpheme,13#04:40#0,明確にわかっていることなんで
morpheme,13#04:44#0,投げ銭するとみんな幸せになる
morpheme,13#04:47#0,全員がハッピーになる
morpheme,13#04:49#0,すごいですねクレクレ君からしたら
morpheme,13#04:50#0,もうすごい夢みたいな
morpheme,13#04:51#0,ツボのいい話ですね
morpheme,13#04:53#0,ただこれね落とし穴が1つありまして
morpheme,13#04:55#0,そこに明記されてるんですけど
morpheme,13#04:57#0,ただこれなんとなく義務感を感じて
morpheme,13#05:00#0,お金を出してしまった場合
morpheme,13#05:01#0,よくあるじゃないですか
morpheme,13#05:03#0,こういうフリーマーケットやるのよみたいな
morpheme,13#05:06#0,これ収益額の何パーセントが
morpheme,13#05:08#0,チャリティーに寄付されるのやまださ
morpheme,13#05:11#0,だからこれ開催のためにお金必要だから
morpheme,13#05:14#0,3万円出してちょうだいって言われて
morpheme,13#05:17#0,いやいやだなーって思ったけど
morpheme,13#05:19#0,でもいいでしょ山田さんそれぐらいならみたいな
morpheme,13#05:21#0,これ子供たちのためよ未来のみたいなこと言われて
morpheme,13#05:24#0,はいって言って出した場合は
morpheme,13#05:26#0,著しく幸福度が低くなる
morpheme,13#05:31#0,なので義務感は感じないでください
morpheme,13#05:32#0,そうですね
morpheme,13#05:34#0,あくまでもボランタリーな気持ちでね
morpheme,13#05:36#0,自発的な気持ちで
morpheme,13#05:38#0,私たろかっていう気持ちの時だけ寄付してください
morpheme,13#05:41#0,これがみんなの幸せのためなんで
morpheme,13#05:44#0,そんな感じでね
morpheme,13#05:47#0,音響機材も新しく入れて
morpheme,13#05:49#0,一新したということで
morpheme,13#05:51#0,ますますのパワーアップをしていきたい
morpheme,13#05:53#0,ゆる言語学ラジオなんですけど
morpheme,13#05:56#0,ちょっとね
morpheme,13#05:57#0,今日雑談会で時間をたっぷり使ったろうということで
morpheme,13#06:02#0,リスナーの皆様からの意見というか
morpheme,13#06:06#0,コメントがYouTubeの方にいっぱい来てるんで
morpheme,13#06:09#0,そういうの読んだりとか
morpheme,13#06:11#0,僕が生活してて気になったこととかを
morpheme,13#06:14#0,みずのさんに聞いていく
morpheme,13#06:16#0,質問会にしようかなと思います
morpheme,13#06:19#0,なのでこれからもし何か
morpheme,13#06:21#0,疑問気になることとかがあれば
morpheme,13#06:23#0,問い合わせフォームがあるんですよね今も
morpheme,13#06:24#0,あそうだ
morpheme,13#06:26#0,そうそうそう
morpheme,13#06:26#0,ありがとう
morpheme,13#06:27#0,それ言っていただいて
morpheme,13#06:29#0,Googleフォームでね
morpheme,13#06:30#0,特命で送れるやつを用意したんで
morpheme,13#06:34#0,送りたければ誹謗中傷もある
morpheme,13#06:37#0,そうですね
morpheme,13#06:38#0,ちょっと恥ずかしい質問みたいな
morpheme,13#06:40#0,これ名前出てるYouTubeでコメントしたくないな
morpheme,13#06:44#0,みたいなやつも気楽に送っていただければ
morpheme,13#06:45#0,そうですね
morpheme,13#06:46#0,とかどうしても動画のコメントとかだと
morpheme,13#06:48#0,それに関わることとかじゃないと
morpheme,13#06:49#0,ダメなのかなみたいなこととか
morpheme,13#06:51#0,思われるかもしれないですけど
morpheme,13#06:52#0,本当にネタを探してるので我々も
morpheme,13#06:54#0,そうですね
morpheme,13#06:55#0,なんで自由に送れるフォームが
morpheme,13#06:57#0,概要欄の方にありますんで
morpheme,13#06:59#0,皆さんそちらから気楽に送っていただければなと
morpheme,13#07:01#0,そうですね
morpheme,13#07:02#0,何送ったらいいかわからない人は
morpheme,13#07:03#0,多分この後についたコメントとか
morpheme,13#07:05#0,堀本さんが気になったこととかを
morpheme,13#07:07#0,見ていただければ
morpheme,13#07:08#0,もうこんななんでもいいんだみたいな
morpheme,13#07:09#0,そうですね
morpheme,13#07:09#0,このレベルでいいのか
morpheme,13#07:11#0,思ってもらえると思うんで
morpheme,13#07:12#0,はい
morpheme,13#07:13#0,ということでじゃあ
morpheme,13#07:14#0,まずYouTubeのコメントを
morpheme,13#07:17#0,読んでいこうかなと思います
morpheme,13#07:19#0,って言うと僕も選定してないんですけど
morpheme,13#07:22#0,今探します
morpheme,13#07:24#0,はい
morpheme,13#07:28#0,すごいですね
morpheme,13#07:28#0,本当ラジオっぽいですよね
morpheme,13#07:29#0,ぽいぽい
morpheme,13#07:30#0,リスナーさんからの質問に答えるって
morpheme,13#07:34#0,なんかラジオっぽいですね
morpheme,13#07:35#0,これインタラクティブで面白いですよね
morpheme,13#07:37#0,なんかね僕もコメント
morpheme,13#07:41#0,あのコメント自分のチャンネルじゃないから
morpheme,13#07:43#0,返したりしてないんですけど
morpheme,13#07:45#0,すごい気にしてて
morpheme,13#07:46#0,めっちゃ真面目に見るんですよ
morpheme,13#07:48#0,新しいコメントついてるかなとか
morpheme,13#07:49#0,真面目
morpheme,13#07:50#0,そうするとなんか
morpheme,13#07:52#0,なんでこの人はこんなこと知ってるんだろう
morpheme,13#07:53#0,みたいな異様な知識量の人間が
morpheme,13#07:55#0,コメントしてて
morpheme,13#07:56#0,いますね結構ね
morpheme,13#07:58#0,いつかネクビをかかれないか知りたいですね
morpheme,13#08:00#0,こいつの言ってたことを間違ってる
morpheme,13#08:01#0,みたいなことにね
morpheme,13#08:02#0,とかね
morpheme,13#08:03#0,俺がやった方がいいよ変われ
morpheme,13#08:05#0,我が家のコントみたいな
morpheme,13#08:10#0,なつさん
morpheme,13#08:11#0,はいありがとうございます
morpheme,13#08:13#0,みずのさんの説得力すごいですね
morpheme,13#08:18#0,僕が日々思ってることを
morpheme,13#08:19#0,改善してくれたんで
morpheme,13#08:21#0,嬉しいですね
morpheme,13#08:22#0,説得力すごいですよ
morpheme,13#08:23#0,将来じゃあペテンシとかになろうかな
morpheme,13#08:25#0,全然いけるでしょ
morpheme,13#08:27#0,布団とか売る
morpheme,13#08:28#0,お年寄りに布団売る仕事
morpheme,13#08:31#0,そうですね
morpheme,13#08:31#0,なんかそう言っていただけると嬉しいですね
morpheme,13#08:34#0,もともと僕塾講師になろうとしてたんで
morpheme,13#08:36#0,その高校生に英語教えたかったんですけど
morpheme,13#08:39#0,そういうなんかその時ぐらいから
morpheme,13#08:42#0,結構人にこう理解される
morpheme,13#08:44#0,分かりやすい説明とかは
morpheme,13#08:46#0,頑張って考えていたその当時は
morpheme,13#08:49#0,のでそう言っていただけると
morpheme,13#08:50#0,めっちゃ嬉しいですね
morpheme,13#08:51#0,多分分かりやすさも
morpheme,13#08:52#0,もちろんなんですけど
morpheme,13#08:54#0,なんか迫力があるんですよ声とか
morpheme,13#08:57#0,声とか見た目とか
morpheme,13#08:58#0,そうですかね
morpheme,13#08:59#0,説得力は多分そこだって
morpheme,13#09:01#0,おもしろ話うまいですねとか分かりやすいですね
morpheme,13#09:04#0,じゃなくて説得力がすごいですね
morpheme,13#09:06#0,ってコメントが来てる
morpheme,13#09:07#0,俺なんかちょっとよく解釈した
morpheme,13#09:09#0,どっちかというと風格の方
morpheme,13#09:12#0,なんか日々塾講師になりたいと
morpheme,13#09:15#0,思ってた身としては
morpheme,13#09:16#0,こういうところで話し方が下手って言われたルート
morpheme,13#09:20#0,傷つくとかってよりは
morpheme,13#09:22#0,塾講師にならなくて良かったって
morpheme,13#09:24#0,気持ちになるんですよ
morpheme,13#09:25#0,逆に話し方がうまいですねって言われると
morpheme,13#09:27#0,塾講師目指してた身としては
morpheme,13#09:30#0,当たり前だろうというか
morpheme,13#09:32#0,という風にやっぱ思うので
morpheme,13#09:34#0,僕それこそ就活生の頃
morpheme,13#09:37#0,そんなに行こうと思ってなかった企業だったんですけど
morpheme,13#09:40#0,プレゼンテーション専攻っていう
morpheme,13#09:42#0,10分間のプレゼンの面白さだけで
morpheme,13#09:45#0,合秘が決まる面接があって
morpheme,13#09:47#0,塾講師になろうと思ってる人間が
morpheme,13#09:49#0,それで落ちたら絶対になるべきではないと思って
morpheme,13#09:51#0,そのためだけに
morpheme,13#09:52#0,自分のプレゼンテーション能力を試すためだけに
morpheme,13#09:54#0,受けに行ったことありますもん
morpheme,13#09:55#0,すごい受かりました?
morpheme,13#09:56#0,受かりました
morpheme,13#09:57#0,さすが
morpheme,13#09:59#0,自信がそういうところに見え隠れしてますね
morpheme,13#10:02#0,その時は自信なかったですけど
morpheme,13#10:05#0,実際に取ってもらえて
morpheme,13#10:08#0,ちょっと今勤めてる会社ではないんですけど
morpheme,13#10:10#0,そこで認めてもらえたってのは結構嬉しかったですね
morpheme,13#10:12#0,素晴らしい
morpheme,13#10:14#0,そういうコメントは結構来てます
morpheme,13#10:17#0,本当ですか
morpheme,13#10:17#0,すげーなこいつすげーなっていう話が
morpheme,13#10:21#0,結構来てるのと
morpheme,13#10:23#0,第1回のですね
morpheme,13#10:24#0,単語の会に来てる
morpheme,13#10:28#0,よしぼーるさん
morpheme,13#10:29#0,明日の飲み会で単語のすごさを披露しようとしてたのに
morpheme,13#10:33#0,緊急事態宣言のせいで亡くなりました
morpheme,13#10:36#0,切ないですね
morpheme,13#10:37#0,でも実践しようとしてくれてます
morpheme,13#10:38#0,嬉しいですよね
morpheme,13#10:39#0,本当に僕ら冗談半分で
morpheme,13#10:41#0,明日の飲み会からはみたいなことを言ってたんですけど
morpheme,13#10:44#0,本当に実行しようとしてる人がいるっていうことは
morpheme,13#10:46#0,言葉に対しての責任がいがありますね
morpheme,13#10:48#0,そうですね
morpheme,13#10:49#0,やっぱ勇気づけられますよね
morpheme,13#10:50#0,こういう人を思うと
morpheme,13#10:52#0,でもやっぱ本当単語すごいから
morpheme,13#10:54#0,良かったですね
morpheme,13#10:54#0,気づいていただけて
morpheme,13#10:56#0,人に敬望しようという気分になってるっていうのは
morpheme,13#10:58#0,非常に好ましいことですよね
morpheme,13#11:00#0,それがやっぱり明日しゃべりたくなるっていうのが
morpheme,13#11:02#0,我々のやってる本会じゃないですかね
morpheme,13#11:05#0,そうですね
morpheme,13#11:08#0,続きましてですね
morpheme,13#11:09#0,同じ第1回の単語のすごさの会について
morpheme,13#11:12#0,すごいコメントいただいてるんですよ
morpheme,13#11:13#0,いっぱい来てますね
morpheme,13#11:14#0,けまさんかな
morpheme,13#11:16#0,面白かったです
morpheme,13#11:17#0,今後の放送も楽しみにしています
morpheme,13#11:18#0,ありがとうございます
morpheme,13#11:19#0,はいありがとうございます
morpheme,13#11:21#0,確か京都大学の研究で
morpheme,13#11:23#0,四重からは文法を持っていて
morpheme,13#11:26#0,初めて聞いた文章でも理解することができる
morpheme,13#11:29#0,理解できるというのがありました
morpheme,13#11:32#0,四重からはイルカヤサルよりも言語屋的な部分が
morpheme,13#11:35#0,発達しているのでしょうか
morpheme,13#11:37#0,この人は明らかな知識人ですね
morpheme,13#11:40#0,確かって言ってますからね
morpheme,13#11:42#0,この聞いてググったとかじゃなくて
morpheme,13#11:43#0,引き出しから出してますからね
morpheme,13#11:44#0,恐怖ですよもう
morpheme,13#11:47#0,こんなやつが聞いてるのか
morpheme,13#11:48#0,なんで知ってるのみたいな
morpheme,13#11:49#0,おっしゃる通りで
morpheme,13#11:50#0,四重からっていうのは
morpheme,13#11:52#0,言葉を結構高度な言葉を喋ってるんじゃないか
morpheme,13#11:54#0,っていう研究はあって
morpheme,13#11:56#0,実はあの時には
morpheme,13#11:58#0,結構なんていうんですかね
morpheme,13#11:59#0,ざっくりと分かりやすくはっきり言うために
morpheme,13#12:03#0,イルカは言葉を喋ってないと僕は言いましたけど
morpheme,13#12:07#0,学派によっては分かれていて
morpheme,13#12:09#0,参考文献覧ですね
morpheme,13#12:10#0,第1回のところに
morpheme,13#12:11#0,その言葉を操る動物たちみたいな
morpheme,13#12:14#0,本をあげたと思うんですけど
morpheme,13#12:15#0,そこには結構こと細かに
morpheme,13#12:17#0,動物ごとに
morpheme,13#12:18#0,どういう言葉を喋ってるかっていう研究が載っていて
morpheme,13#12:21#0,四重からはそこの中にあったと思うんですけど
morpheme,13#12:23#0,実際に単語を持ってる動物もいるっぽい
morpheme,13#12:27#0,っていう立場の人もいるですよね
morpheme,13#12:30#0,だからそういう意味で
morpheme,13#12:32#0,人間の言語と動物の言語が
morpheme,13#12:34#0,単語を持ってるかどうかの違いだっていうことは
morpheme,13#12:38#0,正確に言うと間違ってる可能性はあるんですが
morpheme,13#12:42#0,だからといって動物の言語と人間の言語が
morpheme,13#12:44#0,同レベルだっていうことには僕は抵抗はあって
morpheme,13#12:48#0,動物の言語と比べて
morpheme,13#12:49#0,人間特有の言語っていうのはどうすごいのかっていうのは
morpheme,13#12:52#0,今後ソシュールっていう
morpheme,13#12:54#0,第1回出てきたすごい言語学おじさんがいるんですけど
morpheme,13#12:58#0,彼が言ってたことで説明がつくと思うんで
morpheme,13#13:02#0,ソシュール界を楽しみにしていただければと思います
morpheme,13#13:06#0,いいですね
morpheme,13#13:06#0,リスナーの声を受けてこれをやっていきます
morpheme,13#13:11#0,ラジオっぽいですね
morpheme,13#13:13#0,でも結構難くなっちゃう気がするんで
morpheme,13#13:14#0,ソシュール界ちょっと頑張ってね
morpheme,13#13:16#0,皆さんに覚悟していただいて
morpheme,13#13:18#0,四重からが人間の文法とほぼ一緒じゃねって思った人が
morpheme,13#13:23#0,頑張って食らいつくことになるかもしれないですけど
morpheme,13#13:26#0,頑張って振り落とさないように頑張りますけどこちらも
morpheme,13#13:29#0,そうですね
morpheme,13#13:30#0,じゃあケマさんはその回を楽しみにしていただき
morpheme,13#13:33#0,よくご存知ですね本当に
morpheme,13#13:35#0,しかもこの方続きもあるんですよケマさんの続きは
morpheme,13#13:38#0,話題のリクエストが可能であれば
morpheme,13#13:40#0,堀本さんと水野さんで携帯素解析とか
morpheme,13#13:44#0,自然言語処理の話とかを聞いてみたいと思いました
morpheme,13#13:48#0,ちょっと僕わかんないのは自然言語処理とかってのは
morpheme,13#13:50#0,コンピューターサイエンスの言葉ですか
morpheme,13#13:52#0,コンピューターサイエンスの言葉です
morpheme,13#13:53#0,そうなんだ僕ね全然だからわかんなくて
morpheme,13#13:55#0,自然言語処理って言わないですか
morpheme,13#13:57#0,言わないと思いますね
morpheme,13#13:58#0,携帯素は言いますけどでも携帯素解析っていうのも
morpheme,13#14:01#0,ちょっとわかんなくて分析はするけど
morpheme,13#14:05#0,解析ってするのかなちょっとわかんなくて
morpheme,13#14:09#0,僕の領域コンピューターサイエンスだとめっちゃ言いますね
morpheme,13#14:12#0,そうなんだ言語学にも携帯素っていう単位はあるんですけど
morpheme,13#14:16#0,コンピューターサイエンスでも携帯素はあるんですか
morpheme,13#14:19#0,ありますあるんです携帯素解析
morpheme,13#14:20#0,なるほどこの方は多分コンピューターサイエンスに
morpheme,13#14:23#0,詳しい方ですかね
morpheme,13#14:24#0,というか多分人工知能とかの領域でしょうね
morpheme,13#14:28#0,割とホットなんで問題感も結構出たりするんですよ
morpheme,13#14:33#0,ちょっとしたワークショップみたいな
morpheme,13#14:35#0,なるほど
morpheme,13#14:36#0,今Googleとかが公開してる
morpheme,13#14:38#0,自然言語処理のツールキットみたいなのがあって
morpheme,13#14:42#0,割とそれ使えば誰でも
morpheme,13#14:44#0,だからその結構自然言語処理の話になるな
morpheme,13#14:50#0,今なるんですけど
morpheme,13#14:51#0,すごいざっくり言うと
morpheme,13#14:52#0,要は単語にするのが難しいんですよね
morpheme,13#14:56#0,日本語の文章って切れてない
morpheme,13#14:58#0,今だから自動翻訳とかしようとしてる感じの
morpheme,13#15:01#0,そうです
morpheme,13#15:03#0,Google翻訳とかって精度めっちゃ上がってるじゃないですか
morpheme,13#15:05#0,あれってその要はデータがいっぱいあって
morpheme,13#15:07#0,適切に単語区切って意味取れるみたいな
morpheme,13#15:12#0,それも厳密には違うんだけど
morpheme,13#15:15#0,ディープラーニングっぽい話になるとまた違うんですけど
morpheme,13#15:18#0,すごく原始的な
morpheme,13#15:20#0,1980年代とかから人工知能学会でやられてたアプローチっていうのは
morpheme,13#15:25#0,割と単語をしっかり分解しましょうと
morpheme,13#15:29#0,いうことで
morpheme,13#15:31#0,それのツールみたいなのをGoogleが提供してくれてたりして
morpheme,13#15:35#0,僕らも使えるんですよ
morpheme,13#15:37#0,それをちょっとし簡単なプログラミング言語で
morpheme,13#15:40#0,Pythonとかで簡単なコード何行か書くだけで
morpheme,13#15:44#0,フォームに入力された文章を単語に分割してくれるプログラム
morpheme,13#15:48#0,これ素晴らしいですよね
morpheme,13#15:49#0,自分で一から作ってたらものすごい大変
morpheme,13#15:52#0,そうなんだ
morpheme,13#15:52#0,むちゃくちゃ難しい
morpheme,13#15:54#0,そりゃそうだろうな
morpheme,13#15:55#0,だってあらゆる文章に対応しないといけない
morpheme,13#15:57#0,めっちゃ難しいでしょこれ作るの
morpheme,13#15:58#0,だから携帯層解析っていうのが
morpheme,13#16:02#0,ちょっと今わかってないんですけど
morpheme,13#16:04#0,ちゃんと単語がどれなのかってのを識別することっていうふうに置き換えて大丈夫ですか
morpheme,13#16:09#0,だいたいそれでたばってる
morpheme,13#16:11#0,それは本当にだから
morpheme,13#16:13#0,英語とかだとやりやすいんですよ
morpheme,13#16:15#0,それは何でかっていうと分かち書きをするからです
morpheme,13#16:18#0,単語と単語は明らかに分かれてますよね
morpheme,13#16:21#0,だけど日本語だとそれこそ
morpheme,13#16:23#0,例えば見たみたいな文章も
morpheme,13#16:25#0,1単語なのか2単語なのかとかっていうのって
morpheme,13#16:28#0,すっげえむずいんですよね
morpheme,13#16:29#0,これは見って活用しない部分ですね
morpheme,13#16:32#0,語感の部分は変わんないからいいんですけど
morpheme,13#16:35#0,かけるっていう動詞型として
morpheme,13#16:40#0,かかるかかかる型として
morpheme,13#16:42#0,かかるとかからないの中では
morpheme,13#16:45#0,本当はかかとrが共通してるのわかりますか
morpheme,13#16:49#0,かからとかかるってなってるわけだから
morpheme,13#16:51#0,なんだけどどこまでを切るかっていうのって
morpheme,13#16:56#0,らとるって今
morpheme,13#16:58#0,しんとぼいんっていう概念を導入すると
morpheme,13#17:00#0,一致してる部分っていうのは
morpheme,13#17:01#0,かかとrまで一緒だってわかるんですけど
morpheme,13#17:05#0,従来の日本語の表記だと
morpheme,13#17:07#0,それってるっていうのとからっていうので
morpheme,13#17:10#0,rは一つの音として書いてるわけだから
morpheme,13#17:12#0,どこできるこれみたいなこととかって
morpheme,13#17:15#0,すげえ大変なことになってるんですよね
morpheme,13#17:18#0,だからどこまでが単語なのかっていうのって
morpheme,13#17:20#0,すげえむずいんですよ
morpheme,13#17:22#0,日本語はそういうところとかもね
morpheme,13#17:24#0,動詞の活用とかっていうのでもめっちゃむずいです
morpheme,13#17:27#0,それは僕考えたことなかったです
morpheme,13#17:29#0,ちょっとかじりましたけど
morpheme,13#17:31#0,全言語処理みたいな単語に切ってみましょうみたいなやつとか
morpheme,13#17:35#0,でもそれ問題になってなかったですね
morpheme,13#17:39#0,少なくとも僕がやったレベルだと
morpheme,13#17:43#0,文字列を扱うので基本的には
morpheme,13#17:46#0,かかるとかからないは
morpheme,13#17:48#0,もうかかだけが共通しててっていうことですね
morpheme,13#17:52#0,そうそうそのね
morpheme,13#17:53#0,らないは何なのってことになって
morpheme,13#17:56#0,らで切ってないなのか
morpheme,13#17:57#0,それともらないで一個なのか
morpheme,13#17:59#0,もし仮にかかるにをかかとらないに分けたとしたら
morpheme,13#18:02#0,そのらないってのはかからない以外でどこで使うのとか
morpheme,13#18:06#0,どんな意味を持ってるのとかってのって
morpheme,13#18:08#0,決まってこないんですよね
morpheme,13#18:10#0,だから単語に分けるっていうまずアプローチ
morpheme,13#18:12#0,第一本目はいいんですけど
morpheme,13#18:14#0,単語に分けるが大問題なんですよ
morpheme,13#18:17#0,そんなに簡単なもんじゃねえぞと
morpheme,13#18:19#0,言語学とかこれは個別言語の話なので
morpheme,13#18:22#0,日本語学とかだからどこまでを単語と認定するかみたいなのって
morpheme,13#18:25#0,すげえ研究していてっていうこともあって
morpheme,13#18:30#0,だからそこが行き詰まりというかね
morpheme,13#18:32#0,まだ結論が出てないのであれば
morpheme,13#18:34#0,僕はちょっとそういう人工知能とかが
morpheme,13#18:37#0,大量の文を読み込むことで
morpheme,13#18:39#0,特にその文法的な意味とか
morpheme,13#18:41#0,単語の分割みたいなことをしなくても
morpheme,13#18:43#0,意味が理解できるようになるのであれば
morpheme,13#18:46#0,それすげえなって思うし
morpheme,13#18:47#0,いってみればそうやって外の世界の人が
morpheme,13#18:49#0,中の人たちがわかんなかったことを解決してくれるわけじゃないですか
morpheme,13#18:52#0,超楽しみです僕は
morpheme,13#18:55#0,でも結構今それができてんじゃないですかね
morpheme,13#18:58#0,うんそうですよね翻訳の精度も上がってるし
morpheme,13#19:01#0,半端じゃないですかねGoogle翻訳
morpheme,13#19:03#0,あとはやっぱり問題は
morpheme,13#19:05#0,例えば今日空いてるとかって聞いた時に
morpheme,13#19:10#0,いやー明日テストでさって言われた時に
morpheme,13#19:14#0,じゃあ今日空いてんだ行こうみたいになっちゃまずいというか
morpheme,13#19:17#0,その堀本さんが言おうとしたのって
morpheme,13#19:19#0,明日はテストだから今日は勉強がしたいので
morpheme,13#19:21#0,空いていないっていうことだと思うんですけど
