Id,Title,ThumbnailUrl,VideoUrl,PublicationDate,Channel
206,インターネットの仕組みは『水曜どうでしょう』と同じ【ネットワーク1】#16,https://i.ytimg.com/vi/p-J3iNHHEA8/sddefault.jpg,https://www.youtube.com/watch?v=p-J3iNHHEA8,2022-04-16,ゆるコンピュータ科学ラジオ
207,パケット（大泉洋）は座標を目指して移動する。店名だと迷う。【ネットワーク2】#17,https://i.ytimg.com/vi/jDtHJfHEBCE/sddefault.jpg,https://www.youtube.com/watch?v=jDtHJfHEBCE,2022-04-23,ゆるコンピュータ科学ラジオ
208,インターネットの仕組みから学ぶ「死ぬことさえもかすり傷」【ネットワーク3】#18,https://i.ytimg.com/vi/Pu3g0LBVMFo/sddefault.jpg,https://www.youtube.com/watch?v=Pu3g0LBVMFo,2022-04-30,ゆるコンピュータ科学ラジオ
209,ゆる言語学ラジオが漫画化したら、口を斬られるかもしれない【雑談回】#19,https://i.ytimg.com/vi/5CEvUcfAXQw/sddefault.jpg,https://www.youtube.com/watch?v=5CEvUcfAXQw,2022-05-07,ゆるコンピュータ科学ラジオ
210,コンピュータはなぜ動くのか、2時間で原理を理解する【半導体1】#20,https://i.ytimg.com/vi/ShgBk-SPFpo/sddefault.jpg,https://www.youtube.com/watch?v=ShgBk-SPFpo,2022-05-14,ゆるコンピュータ科学ラジオ
211,トランジスタを巨大プリンにたとえて説明する【半導体2】#21,https://i.ytimg.com/vi/RUveCmXs3LU/sddefault.jpg,https://www.youtube.com/watch?v=RUveCmXs3LU,2022-05-21,ゆるコンピュータ科学ラジオ
212,豆電球のつなぎ方が分かれば、コンピュータは作れる【半導体3】#22,https://i.ytimg.com/vi/VG1_Mm8d4aY/sddefault.jpg,https://www.youtube.com/watch?v=VG1_Mm8d4aY,2022-05-28,ゆるコンピュータ科学ラジオ
213,二進数の筆算、あなたはできる？機械にやらせるには？【半導体4】#23,https://i.ytimg.com/vi/cfn0xkIFceY/sddefault.jpg,https://www.youtube.com/watch?v=cfn0xkIFceY,2022-06-04,ゆるコンピュータ科学ラジオ
214,しめじから布団乾燥機ができる。ブラックボックスっていうヤツがブラックボックス【雑談回】#24,https://i.ytimg.com/vi/e227TnB3hNg/sddefault.jpg,https://www.youtube.com/watch?v=e227TnB3hNg,2022-06-11,ゆるコンピュータ科学ラジオ
215,謎の状況に爆笑しちゃう「食事する哲学者の問題」【失敗たとえの森】 #25,https://i.ytimg.com/vi/K9UrIxj4qMA/sddefault.jpg,https://www.youtube.com/watch?v=K9UrIxj4qMA,2022-06-18,ゆるコンピュータ科学ラジオ
216,進研ゼミのマンガに使える気の利いた感想「人生に、銀の弾丸はないよ」【プリンシプルオブライフ1】 #26,https://i.ytimg.com/vi/wQ4hwFo6EeM/sddefault.jpg,https://www.youtube.com/watch?v=wQ4hwFo6EeM,2022-06-25,ゆるコンピュータ科学ラジオ
217,感情がない人はAPIとして優れているし、情報隠ぺいは正義【プリンシプルオブライフ2】#27,https://i.ytimg.com/vi/AsO4SYDjZ54/sddefault.jpg,https://www.youtube.com/watch?v=AsO4SYDjZ54,2022-07-02,ゆるコンピュータ科学ラジオ
218,プログラマの三大美徳に痺れる。「傲慢」が特に最高【プリンシプルオブライフ3】#28,https://i.ytimg.com/vi/nPRGFa_kz04/sddefault.jpg,https://www.youtube.com/watch?v=nPRGFa_kz04,2022-07-09,ゆるコンピュータ科学ラジオ
219,現代人には理解できない謎概念「武器軟膏」とは？【撮り終わり雑談回】#29,https://i.ytimg.com/vi/TnXD0CbKmpw/sddefault.jpg,https://www.youtube.com/watch?v=TnXD0CbKmpw,2022-07-16,ゆるコンピュータ科学ラジオ
220,おもしろウィキペディア記事をひたすら紹介する回【サメの夏】#30,https://i.ytimg.com/vi/G3EXCaYUX8Q/sddefault.jpg,https://www.youtube.com/watch?v=G3EXCaYUX8Q,2022-07-23,ゆるコンピュータ科学ラジオ
221,うるさいヤツに使えるコンピュータ用語「KISSの原則」【おしゃれコンピュータ用語2】#31,https://i.ytimg.com/vi/9ugTBypc2aI/sddefault.jpg,https://www.youtube.com/watch?v=9ugTBypc2aI,2022-07-30,ゆるコンピュータ科学ラジオ
222,誤解まみれのチューリング。コンピュータの父ってホント？【チューリング1】#32,https://i.ytimg.com/vi/NCdI_HZd6xQ/sddefault.jpg,https://www.youtube.com/watch?v=NCdI_HZd6xQ,2022-08-06,ゆるコンピュータ科学ラジオ
223,チューリングはコンピュータの父ではない。コンピュータ科学の父だ【チューリング2】#33,https://i.ytimg.com/vi/cU4Ra3LStNE/sddefault.jpg,https://www.youtube.com/watch?v=cU4Ra3LStNE,2022-08-13,ゆるコンピュータ科学ラジオ
224,コンピュータの限界は「テープを読み書きする機械」で分かる。チューリングマシンはすごい【チューリング3】#34,https://i.ytimg.com/vi/_slVM-J7t-0/sddefault.jpg,https://www.youtube.com/watch?v=_slVM-J7t-0,2022-08-20,ゆるコンピュータ科学ラジオ
225,初恋の人を蘇らせたくて、チューリングは人工知能を作った（かもしれない）【チューリング4】 #35,https://i.ytimg.com/vi/uO6GxerwUBE/sddefault.jpg,https://www.youtube.com/watch?v=uO6GxerwUBE,2022-08-27,ゆるコンピュータ科学ラジオ
226,映画『イミテーションゲーム』の脚色ポイントを全部言う【チューリング雑談回】#36,https://i.ytimg.com/vi/n6pGLO-Y-DY/sddefault.jpg,https://www.youtube.com/watch?v=n6pGLO-Y-DY,2022-09-03,ゆるコンピュータ科学ラジオ
227,ミズノの知らないマークアップ言語の世界【ブラウザは凄腕パワポ職人】【マークアップ言語1】#37,https://i.ytimg.com/vi/yQU_GBvgGQU/sddefault.jpg,https://www.youtube.com/watch?v=yQU_GBvgGQU,2022-09-10,ゆるコンピュータ科学ラジオ
228,HTMLの真価は「論理と見た目の分離」。みちょぱに違法建築をさせてはいけない【マークアップ言語2】#38,https://i.ytimg.com/vi/vWx8pFWvhik/sddefault.jpg,https://www.youtube.com/watch?v=vWx8pFWvhik,2022-09-17,ゆるコンピュータ科学ラジオ
229,「頭が赤い魚を食べる猫」の多義性はマークアップ言語で解決【マークアップ言語3】#39,https://i.ytimg.com/vi/r1dxBMZJqN8/sddefault.jpg,https://www.youtube.com/watch?v=r1dxBMZJqN8,2022-09-24,ゆるコンピュータ科学ラジオ
230,TeXあるある「習ったのに結局Wordに戻る」「エラーで疲労困憊る」【マークアップ言語4】#40,https://i.ytimg.com/vi/oED9qE-dgmk/sddefault.jpg,https://www.youtube.com/watch?v=oED9qE-dgmk,2022-10-01,ゆるコンピュータ科学ラジオ
231,見た目を書く言語が進化して、見た目を書かない言語になった【マークアップ言語5】#41,https://i.ytimg.com/vi/woqyAl_h3Fo/sddefault.jpg,https://www.youtube.com/watch?v=woqyAl_h3Fo,2022-10-08,ゆるコンピュータ科学ラジオ
232,Googleの根幹になった論文を読む。検索エンジンの解剖。【Google1】#42,https://i.ytimg.com/vi/tig2SuYcTS4/sddefault.jpg,https://www.youtube.com/watch?v=tig2SuYcTS4,2022-10-15,ゆるコンピュータ科学ラジオ
233,Google検索を支える巧妙なアイデア「ランダムサーファー」【Google2】#43,https://i.ytimg.com/vi/3zc2-aWmLL0/sddefault.jpg,https://www.youtube.com/watch?v=3zc2-aWmLL0,2022-10-22,ゆるコンピュータ科学ラジオ
234,人はなぜ見積りを失敗するのか。失敗の本質は○○【見積り1】#44,https://i.ytimg.com/vi/agWiOY-aocs/sddefault.jpg,https://www.youtube.com/watch?v=agWiOY-aocs,2022-10-29,ゆるコンピュータ科学ラジオ
235,見積りは1点で出すな。確率で出せ。【見積り2】#45,https://i.ytimg.com/vi/NbFbM_nfaQU/sddefault.jpg,https://www.youtube.com/watch?v=NbFbM_nfaQU,2022-11-05,ゆるコンピュータ科学ラジオ
236,正しく見積もる方法「何でもいいから数える」「神の声を聞く」。【見積り3】#46,https://i.ytimg.com/vi/kLWpN_Kx2Y0/sddefault.jpg,https://www.youtube.com/watch?v=kLWpN_Kx2Y0,2022-11-12,ゆるコンピュータ科学ラジオ
237,リスナーのあるあるが高度すぎて共感できない【おたより読む回】#47,https://i.ytimg.com/vi/yNK58rgDS9E/sddefault.jpg,https://www.youtube.com/watch?v=yNK58rgDS9E,2022-11-19,ゆるコンピュータ科学ラジオ
238,データ構造はトレードオフの芸術。最強のデータ記録法とは？【データ構造1】#48,https://i.ytimg.com/vi/Yu6tLYQw9h8/sddefault.jpg,https://www.youtube.com/watch?v=Yu6tLYQw9h8,2022-11-26,ゆるコンピュータ科学ラジオ
239,巧妙なアイデア「ふたまたニョキニョキ」がすべてを解決する【データ構造2】#49,https://i.ytimg.com/vi/3CQCBQRq0FA/sddefault.jpg,https://www.youtube.com/watch?v=3CQCBQRq0FA,2022-12-03,ゆるコンピュータ科学ラジオ
240,ネット回線の歴史は半沢直樹。接続を巡る大人の戦い【ピアリング戦記1】#50,https://i.ytimg.com/vi/uFdqLBkuR_c/sddefault.jpg,https://www.youtube.com/watch?v=uFdqLBkuR_c,2022-12-10,ゆるコンピュータ科学ラジオ
241,【隣のビルから電気引いてた】昭和のネット技術者の泣ける努力3選【ピアリング戦記2】#51,https://i.ytimg.com/vi/50kmumK8JE0/sddefault.jpg,https://www.youtube.com/watch?v=50kmumK8JE0,2022-12-17,ゆるコンピュータ科学ラジオ
242,いっぱいある「○○年問題」の楽しさを紹介しまくる【2038年問題は2004年にも起きた】【年問題1】#52,https://i.ytimg.com/vi/XbYUIOBgcqk/sddefault.jpg,https://www.youtube.com/watch?v=XbYUIOBgcqk,2022-12-24,ゆるコンピュータ科学ラジオ
243,2000年問題で混乱した社会が面白すぎるwww【年問題2】#53,https://i.ytimg.com/vi/5VmEdCVT6d0/sddefault.jpg,https://www.youtube.com/watch?v=5VmEdCVT6d0,2022-12-31,ゆるコンピュータ科学ラジオ
